IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.24.63.225,4,4,0.00,194.48,7.62,LAX
104.24.200.154,4,4,0.00,195.61,7.57,LAX
172.67.250.207,4,4,0.00,195.12,7.09,LAX
104.27.106.154,4,4,0.00,194.24,7.06,LAX
104.24.68.78,4,4,0.00,197.83,6.94,LAX
104.27.51.236,4,4,0.00,195.10,6.91,LAX
104.27.56.19,4,4,0.00,187.12,6.57,LAX
104.27.13.114,4,4,0.00,192.23,6.55,LAX
104.26.13.150,4,4,0.00,187.04,6.37,HKG
104.27.107.147,4,4,0.00,193.30,5.92,LAX
104.27.196.134,4,4,0.00,192.40,5.88,LAX
104.24.204.14,4,4,0.00,192.78,5.87,LAX
172.67.135.83,4,4,0.00,197.88,5.81,LAX
104.27.97.57,4,4,0.00,197.05,5.69,LAX
172.67.80.65,4,4,0.00,198.72,5.54,LAX
104.27.115.34,4,4,0.00,199.33,5.50,LAX
172.67.114.55,4,4,0.00,190.16,5.38,LAX
104.24.167.156,4,4,0.00,191.92,5.33,LAX
104.27.64.139,4,4,0.00,195.04,5.32,LAX
104.24.211.243,4,4,0.00,196.03,5.31,LAX
104.24.62.118,4,4,0.00,194.55,5.26,LAX
104.27.49.142,4,4,0.00,184.61,5.21,LAX
104.24.216.120,4,4,0.00,193.00,5.19,LAX
104.24.74.143,4,4,0.00,189.90,4.95,LAX
104.27.98.72,4,4,0.00,196.85,4.82,LAX
104.27.6.28,4,4,0.00,194.34,4.76,LAX
104.24.150.141,4,4,0.00,193.21,4.42,LAX
104.27.42.120,4,4,0.00,196.39,4.40,LAX
172.66.166.18,4,4,0.00,196.20,3.70,LAX
104.25.52.70,4,4,0.00,198.74,3.55,LAX
104.27.193.53,4,4,0.00,198.84,2.15,LAX
104.24.151.204,4,4,0.00,190.77,1.62,LAX
104.27.36.236,4,4,0.00,199.64,1.60,LAX
104.27.0.18,4,4,0.00,199.26,1.07,LAX
104.24.73.181,4,4,0.00,197.82,1.00,LAX
172.66.149.194,4,4,0.00,198.00,0.88,LAX
104.25.47.153,4,4,0.00,197.30,0.87,LAX
104.24.66.151,4,4,0.00,197.88,0.69,LAX
104.24.61.193,4,4,0.00,197.24,0.41,LAX
172.67.122.118,4,4,0.00,197.98,0.41,LAX
172.67.177.119,4,4,0.00,199.81,0.19,LAX
172.67.118.62,4,4,0.00,199.94,0.18,LAX
